;KONE»N… POÿADÕ SPAC 2008;;;;;;;;;;;;;;;;;;;;;;
;11. roËnÌk;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Krnov;2boj;TdJ;Goof·k;M.A.D.;St.Ves;éD;Klim;Bohum;Polom;Stonava;VC L;Paskov;M 60;Petrovice;Td»;celkem;;
36.;VRBA;Ji¯Ì;;30;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;30;48;0
37.;BIEDRAWA;Vladislav;;30;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;30;48;0
38.;PAVLÕK;Petr;RACING OLEäN¡ F-M;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;48;0
39.;éARLOK;ZdenÏk;CK VLASTIBOR KONE»N›;29;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;29;48;0
40.;ANDRZEJEWSKI;Andrzej;GLIWICE;28;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;48;0
41.;BELOVICS;Jan;HAVÕÿOV;28;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;28;48;0
42.;DVOÿ¡»EK;Hynek;TJ BANÕK OSTRAVA OKD;28;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;28;48;0
43.;WLODZIMIERZ;Wieslaw;GMG GLIWICE;28;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;28;48;0
44.;STANKE;Ladislav;HAVÕÿOV - PODLESÕ;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;28;48;0
45.;BYSTRIANSK›;Ladislav;CVK OPAVA;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;48;0
46.;MACHA»;Miroslav;ACS TIR;26;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;26;48;0
47.;ä»IBOROWSKI;Jerzy;GMG GLIWICE;26;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;26;48;0
48.;SOKOLOWSKI;Wojczech;GLIWICE;23;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;48;0
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Kategorie E;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
po¯adÌ;p¯ÌjmenÌ;jmÈno;klub;11 nej;Krnov;2boj;TdJ;Goof·k;M.A.D.;St.Ves;éD;Klim;Bohum;Polom;Stonava;VC L;Paskov;M 60;Petrovice;Td»;celkem;;
1.;VESEL›;Petr;TJ Té TÿINEC;496;34;38;38;40;0;40;40;38;36;36;68;40;34;76;38;40;636;26;1
2.;HOMOLA;Petr;SK äAFRATA BOHUMÕN;496;36;0;36;38;38;38;38;36;38;32;72;38;38;80;40;38;636;26;1
3.;KRAMOLIä;RadomÌr;CYKLOKRAMO SUCHDOL N.O.;458;38;0;32;33;40;36;36;34;0;34;62;34;40;68;0;36;523;26;1
4.;RAäKA;Frantiöek;CK FRENäT¡T P.R. 1;425;32;30;33;32;34;33;0;33;34;29;64;31;32;62;36;0;515;26;1
5.;RADA;Eduard;CYKLOKRAMO SUCHDOL N.O.;412;31;31;0;31;36;0;0;30;0;28;60;30;33;64;34;32;440;26;1
6.;FERDYN;Jan;USTRO“;265;0;40;0;36;0;0;0;40;40;33;76;0;0;0;0;0;265;26;1
7.;GLOGAR;Jan;YOGI RACING TEAM OSTRAVA;197;0;32;0;34;0;0;0;32;0;0;66;33;0;0;0;0;197;26;1
