;KONEÈNÉ POØADÍ SPAC 2004;;;;;;;;;;;;;;;;;
;7. roèník;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
1.;CINELLI MORNING SKY;;;471;37;39;78;26;42;0;37;90;45;35;39;64;532;
2.;YOGI RACING OSTRAVA;;;253;23;0;34;0;23;0;0;46;0;37;30;60;253;
3.;SK ŠAFRATA BOHUMÍN;;;205;28;0;44;31;15;0;0;0;0;22;23;42;205;
4.;CK VALAŠSKÉHO KRÁLOVSTVÍ;;;183;0;0;34;25;24;25;0;0;0;22;15;38;183;
5.;TJ TŽ TØINEC;;;132;0;0;0;0;32;34;0;34;32;0;0;0;132;
6.;CK FESO PETØVALD;;;96;0;0;0;0;0;0;36;60;0;0;0;0;96;
7.;CYKLOSPORT PØIKRYL, STARÁ VES N. O.;;;71;0;0;40;0;9;0;0;0;22;0;0;0;71;
8.;BIKE CLUB KRNOV;;;70;33;37;0;0;0;0;0;0;0;0;0;0;70;
9.;CYKLOSERVIS SUCHDOL n. ODROU;;;57;0;0;0;0;23;0;0;34;0;0;0;0;57;
10.;RACING OLEŠNÁ,  F-M;;;56;0;0;30;0;26;0;0;0;0;0;0;0;56;
